vf-max,best_single_option_policy/return-average,vf-avg,discriminator_reward-min,gmm-log-sigs-mean,kl-surrogate-loss,discriminator_reward-max,gmm-log-w-std,qf-avg,episodes,max-path-return,qf-min,policy-reg-loss,best_single_option_policy/return-std,epoch,best_single_option_policy/return-min,best_single_option_policy/episode-length-min,discriminator-loss,gmm-log-w-min,gmm-mus-mean,qf-std,log_p_z-std,time-sample,gmm-log-w-mean,gmm-log-w-max,vf-min,gmm-mus-std,z-entropy,best_single_option_policy/return-max,last-path-return,vf-std,vf-loss,discriminator_reward-std,time-train,discriminator_reward-avg,log_p_z-max,best_single_option_policy/episode-length-avg,time-eval,log_p_z-min,pool-size,log_p_z-avg,bellman-error,gmm-mus-min,gmm-mus-max,qf-max,best_single_option_policy/episode-length-max,gmm-log-sigs-std,time-total,best_single_option_policy/episode-length-std,gmm-log-sigs-max,path-length,gmm-log-sigs-min
1751.727,10.548926792424426,1654.1356,-2.9501576,-0.14599425,3.5967813,3.9045086,0.32314554,1642.2778,1925,48.89228976889753,1478.6931,7.422251e-05,0.0,1924,10.548926792424426,1000,0.9619673,-0.34705883,-0.0039854576,48.986965,7.1525574e-07,0.9379677018150687,0.22285011,0.7488244,1495.3436,0.18348745,3.9120230054281455,10.548926792424426,24.740150542403278,48.762417,3.4875755,1.0990305,6.475394399836659,2.9500058,-3.911973,1000.0,1.6441205609589815,-3.911973,1000000,-3.9119723,1.4984845,-0.5539286,0.5616754,1740.8508,1000,0.30569127,118459.94128456619,0.0,0.3472879,1000.0,-0.721007
1764.2133,12.414460068663962,1653.8547,0.08747721,-0.14741018,4.7771893,3.911973,0.31909007,1642.2719,1926,48.89228976889753,1430.4635,7.3803494e-05,0.0,1925,12.414460068663962,1000,0.9543816,-0.35501802,-0.016321957,46.277462,7.1525574e-07,0.8760542273521423,0.22137937,0.95140517,1449.3798,0.1828693,3.9120230054281455,12.414460068663962,-11.905248056317182,46.052265,2.894555,0.97757864,6.134364849887788,2.9575915,-3.911973,1000.0,1.5935802413150668,-3.911973,1000000,-3.9119723,1.2326853,-0.6528386,0.5748051,1750.9315,1000,0.3035945,118468.44493328128,0.0,0.3326031,1000.0,-0.76254725
1755.6191,8.869793055464555,1660.1614,-2.7281308,-0.15090343,-2.3859115,3.911973,0.3174269,1645.7163,1927,48.89228976889753,1454.12,7.5434116e-05,0.0,1926,8.869793055464555,1000,0.87789553,-0.41102025,0.009840534,47.52796,7.1525574e-07,0.8756529288366437,0.22193572,0.97744656,1468.9178,0.18228622,3.9120230054281455,8.869793055464555,21.490780557458535,46.940575,1.9919381,1.0600128,6.131519292481244,3.0340776,-3.911973,1000.0,1.5157592548057437,-3.911973,1000000,-3.9119723,1.075331,-0.61364937,0.58748704,1740.6158,1000,0.30784947,118476.75398303661,0.0,0.33992955,1000.0,-0.83915913
1749.0728,10.361622541535919,1659.5983,-2.5435038,-0.14419737,-0.038921654,3.911972,0.3304954,1646.2736,1928,48.89228976889753,1515.8918,7.5094715e-05,0.0,1927,10.361622541535919,1000,0.94576645,-0.3939971,0.008356089,41.751106,7.1525574e-07,0.9064331501722336,0.21474376,0.9672382,1522.2755,0.18623766,3.9120230054281455,10.361622541535919,0.10082430203793047,42.054432,3.1793835,1.0401554,6.289039307273924,2.9662066,-3.911973,1000.0,1.3250033725053072,-3.911973,1000000,-3.9119723,1.9762315,-0.7088751,0.5547837,1736.557,1000,0.30763978,118485.58625636715,0.0,0.3596865,1000.0,-0.75064635
1750.6875,11.647266597901728,1658.6427,-2.7784653,-0.14587343,2.9530125,3.9110775,0.3338447,1646.1943,1929,48.89228976889753,1499.1432,7.3727206e-05,0.0,1928,11.647266597901728,1000,0.911602,-0.40458286,-0.025071513,47.845444,7.1525574e-07,0.9306320641189814,0.20755482,0.75686246,1511.1284,0.1766016,3.9120230054281455,11.647266597901728,28.26085759530065,47.10562,3.3325472,1.0833845,6.417787730693817,3.000371,-3.911973,1000.0,1.6599370734766126,-3.911973,1000000,-3.9119723,1.0178891,-0.58779055,0.618345,1738.967,1000,0.30717847,118494.47805189714,0.0,0.35140622,1000.0,-0.7374867
1747.1128,13.324466002961856,1655.1592,-2.1768794,-0.1505194,2.2395802,3.9088058,0.33404335,1642.1383,1930,48.89228976889753,1467.4866,8.0260936e-05,0.0,1929,13.324466002961856,1000,0.8763869,-0.38992703,-0.006583143,42.79091,7.1525574e-07,0.8754026591777802,0.2272558,0.76492345,1485.8828,0.20633002,3.9120230054281455,13.324466002961856,4.073297403717768,42.25179,1.9522963,0.9790647,6.127040710300207,3.035586,-3.911973,1000.0,1.5677584102377295,-3.911973,1000000,-3.9119723,1.2981292,-0.6855574,0.58788717,1734.5869,1000,0.30862656,118502.74102176074,0.0,0.33827943,1000.0,-0.8098615
1781.0933,11.97037670230991,1654.2715,-0.7030716,-0.14635356,-1.6358455,3.911973,0.3448474,1640.0972,1931,48.89228976889753,1485.7281,7.651557e-05,0.0,1930,11.97037670230991,1000,0.9295235,-0.3709179,-0.03955494,45.18706,7.1525574e-07,0.9176023155450821,0.2160974,0.8621582,1498.8633,0.18875356,3.9120230054281455,11.97037670230991,-5.448930687848386,45.41598,2.937711,0.97154117,6.347403552383184,2.9824495,-3.911973,1000.0,1.2644266355782747,-3.911973,1000000,-3.9119723,1.066112,-0.71441334,0.5609856,1770.2538,1000,0.3072772,119057.1826277636,0.0,0.3526202,1000.0,-0.74394107
1780.4211,15.49717153118823,1654.21,-1.2508478,-0.14963314,-1.7675182,3.911973,0.33321893,1640.1826,1932,48.89228976889753,1519.3557,8.1167214e-05,0.0,1931,15.49717153118823,1000,1.037874,-0.37100488,-0.008298049,44.407455,7.1525574e-07,0.9535008147358894,0.22251782,0.8035258,1526.478,0.2093216,3.9120230054281455,15.49717153118823,10.413238512640332,44.611763,2.7099497,1.1399201,6.564233474433422,2.874099,-3.911973,1000.0,547.1920744599774,-3.911973,1000000,-3.9119723,1.4644489,-0.77219343,0.54689735,1764.2969,1000,0.30993542,119066.14432778116,0.0,0.37405503,1000.0,-0.7849512
1753.9358,8.2892800450534,1652.094,-0.42367363,-0.14387943,-2.4629683,3.8989384,0.33867842,1637.6858,1933,48.89228976889753,1424.8641,7.3306175e-05,0.0,1932,8.2892800450534,1000,0.85222113,-0.37252185,-0.017995674,49.81203,7.1525574e-07,0.8616948816925287,0.21120808,0.9815695,1438.1396,0.18445393,3.9120230054281455,8.2892800450534,8.068338730468007,49.65635,2.3490896,0.8956683,6.060604153200984,3.059752,-3.911973,1000.0,1.469773231074214,-3.911973,1000000,-3.9119723,1.0466106,-0.6660833,0.58922726,1741.035,1000,0.30259544,119074.61696688086,0.0,0.34107012,1000.0,-0.6863414
1759.727,12.466437485847468,1654.1433,-1.2783732,-0.14717776,-3.9190001,3.9064908,0.3301241,1638.8652,1934,48.89228976889753,1470.8253,7.655546e-05,0.0,1933,12.466437485847468,1000,1.114758,-0.44355744,-0.03461667,43.315067,7.1525574e-07,0.873551607131958,0.21318157,0.8610385,1487.7759,0.18611416,3.9120230054281455,12.466437485847468,-5.922065171948541,43.405987,3.590538,1.0523981,6.103039951063693,2.797215,-3.911973,1000.0,1.5671402057632804,-3.911973,1000000,-3.9119723,1.4650002,-0.67724824,0.8112863,1745.9073,1000,0.30921322,119082.89501054678,0.0,0.3456708,1000.0,-0.819795
